################## Print Start ##################
Attributes: ['Outlook', 'Temperature', 'Humidity', 'Wind']
Target: PlayTennis
Classes: ['No' 'Yes']
Data size: 10
Attribute Values {'Outlook': array(['Overcast', 'Rain', 'Sunny'], dtype='<U8'), 'Temperature': array(['Cool', 'Hot', 'Mild'], dtype='<U8'), 'Humidity': array(['High', 'Normal'], dtype='<U8'), 'Wind': array(['Strong', 'Weak'], dtype='<U8')}
Individual Length: 11
Target encoding:  {'0': 'No', '1': 'Yes'}
################## Print End ##################

Generation: 63 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 64 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 65 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 66 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 67 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 68 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 69 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 70 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 71 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 72 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 73 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 74 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 75 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 76 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 77 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 78 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 79 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 80 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 81 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 82 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 83 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 84 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 85 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 86 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 87 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 88 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 89 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 90 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 91 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 92 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 93 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 94 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 95 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 96 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 97 | Best Fitness: 0.81 | Running Fitness: 0.81 | Train Accuracy: 0.9 | Test Accuracy: 0.5
Generation: 98 | Best Fitness: 1.0 | Running Fitness: 1.0 | Train Accuracy: 1.0 | Test Accuracy: 1.0
Total time: 0.5665254592895508 seconds

##############################

Best Hypothesis contains following 3 disjuntive rules:
Learned Rule 1
If ( Outlook is Overcast or Rain ) AND ( Temperature is Cool or Hot or Mild ) AND ( Humidity is High or Normal ) AND ( Wind is Weak )  -> THEN target = Yes

Learned Rule 2
If ( Outlook is Overcast or Sunny ) AND ( Temperature is Cool or Mild ) AND ( Humidity is High or Normal ) AND ( Wind is Strong or Weak )  -> THEN target = Yes

Learned Rule 3
If ( Outlook is Rain or Sunny ) AND ( Temperature is Cool or Hot or Mild ) AND ( Humidity is High or Normal ) AND ( Wind is Strong or Weak )  -> THEN target = No

Train accuracy: 1.0
Test accuracy: 1.0
