❯ python3 testIris.py                                             ─╯
Unique values in each attr:  [32, 21, 40, 22]
# of bits needed for each attr:  [5, 5, 6, 5]
################## Print Start ##################
Attributes: ('sepal_length', 'sepal_width', 'petal_length', 'petal_width')
Target: Iris
Classes: ['Iris-setosa' 'Iris-versicolor' 'Iris-virginica']
Data size: 100
Attribute Values {'sepal_length': array([43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61,
       62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 79],
      dtype=int32), 'sepal_width': array([20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
       38, 39, 40, 41], dtype=int32), 'petal_length': array([10, 11, 12, 13, 14, 15, 16, 17, 19, 30, 33, 35, 37, 38, 39, 40, 41,
       42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60,
       61, 63, 64, 66, 67, 69], dtype=int32), 'petal_width': array([ 1,  2,  3,  4,  5,  6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
       21, 22, 23, 24, 25], dtype=int32)}
Individual Length: 44
Target encoding:  {'00': 'Iris-setosa', '01': 'Iris-versicolor', '10': 'Iris-virginica'}
################## Print End ##################

Generation: 113 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 114 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 115 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 116 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 117 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 118 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 119 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 120 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 121 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 122 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 123 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 124 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 125 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 126 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 127 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 128 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 129 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 130 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 131 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 132 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 133 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 134 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 135 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 136 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 137 | Best Fitness: 0.865 | Running Fitness: 0.846 | Train Accuracy: 0.93 | Test Accuracy: 0.92
Generation: 138 | Best Fitness: 0.865 | Running Fitness: 0.865 | Train Accuracy: 0.93 | Test Accuracy: 0.92
